,nose,left_eye_inner,left_eye,left_eye_outer,right_eye_inner,right_eye,right_eye_outer,left_ear,right_ear,mouth_left,mouth_right,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_pinky,right_pinky,left_index,right_index,left_thumb,right_thumb,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,left_heel,right_heel,left_foot_index,right_foot_index,exercise
112,"[407.67220973968506, 468.494873046875, -420.5046844482422]","[412.41551399230957, 460.46802520751953, -375.52867889404297]","[415.13025283813477, 461.29905700683594, -375.5755615234375]","[417.57144927978516, 462.1617126464844, -375.58094024658203]","[403.2555341720581, 458.38035583496094, -384.7257995605469]","[399.4946479797363, 457.75917053222656, -384.8582077026367]","[395.5871629714966, 457.3743438720703, -384.8038101196289]","[416.99466705322266, 468.49483489990234, -125.86747169494629]","[385.4192304611206, 462.31388092041016, -161.83223724365234]","[409.9940586090088, 481.60877227783203, -327.9151916503906]","[399.214882850647, 479.7638702392578, -338.5272979736328]","[438.14716815948486, 545.1422882080078, 53.83770942687988]","[335.29696226119995, 525.0944137573242, -75.49323081970215]","[470.4100227355957, 614.3861770629883, -121.1351203918457]","[276.36874437332153, 574.088249206543, -293.113956451416]","[512.5573110580444, 583.2865142822266, -638.6922073364258]","[277.5226950645447, 532.1755981445312, -755.3233337402344]","[525.1901292800903, 572.6555252075195, -727.5472259521484]","[276.15365266799927, 519.607048034668, -856.7677307128906]","[520.2266693115234, 563.5958099365234, -762.8239440917969]","[284.6391534805298, 515.9732818603516, -873.6112976074219]","[514.4038724899292, 567.2050857543945, -668.206787109375]","[287.00286626815796, 521.096076965332, -773.1700134277344]","[385.35820484161377, 706.4575958251953, 33.50222826004028]","[324.0845561027527, 694.4419860839844, -33.07822942733765]","[380.14652252197266, 831.3758087158203, 51.44242763519287]","[299.5162296295166, 819.5437622070312, 19.208446741104126]","[365.92339038848877, 939.4780731201172, 458.50650787353516]","[285.2661466598511, 929.3166351318359, 368.9445495605469]","[353.635675907135, 949.5501708984375, 482.1096420288086]","[290.2442407608032, 940.8006286621094, 384.1884994506836]","[375.4955291748047, 971.9807434082031, 228.45579147338867]","[268.5428738594055, 962.36328125, 108.03986549377441]",squat
113,"[407.56535053253174, 467.00618743896484, -430.70804595947266]","[412.33139991760254, 458.51367950439453, -386.9073486328125]","[415.1374626159668, 459.35909271240234, -386.9664001464844]","[417.60127544403076, 460.1879119873047, -386.9889450073242]","[403.2045078277588, 456.66290283203125, -392.31929779052734]","[399.41572666168213, 455.97923278808594, -392.44239807128906]","[395.46292304992676, 455.43983459472656, -392.3846435546875]","[417.27705001831055, 466.9874572753906, -140.03418922424316]","[385.41390895843506, 460.2198791503906, -159.93736267089844]","[410.0598478317261, 480.0751495361328, -339.47906494140625]","[399.1079807281494, 478.36917877197266, -345.49293518066406]","[440.0135135650635, 543.5247039794922, 27.168681621551514]","[335.52700996398926, 523.7783050537109, -62.10457801818848]","[470.6705617904663, 613.6128997802734, -168.79554748535156]","[280.431067943573, 572.6981353759766, -280.1951026916504]","[512.4883460998535, 586.5410614013672, -690.5073547363281]","[276.95374488830566, 534.6212768554688, -764.7639465332031]","[524.9518632888794, 576.3276290893555, -773.9651489257812]","[273.4832453727722, 522.249870300293, -866.9593811035156]","[519.6375703811646, 566.307487487793, -775.9126281738281]","[280.56846141815186, 518.9371871948242, -888.238525390625]","[513.9230489730835, 569.5267868041992, -714.366455078125]","[284.0754175186157, 523.8745880126953, -785.8026885986328]","[386.02892875671387, 706.6725921630859, 22.156753540039062]","[324.7565031051636, 695.4023742675781, -21.684515476226807]","[379.74663734436035, 829.5525360107422, 31.27121925354004]","[299.67795610427856, 818.6328125, 19.635579586029053]","[366.0366439819336, 939.4504547119141, 457.78343200683594]","[284.90078687667847, 929.0980529785156, 378.94309997558594]","[354.13851499557495, 949.2438507080078, 483.1651306152344]","[289.4850254058838, 940.6327819824219, 395.0967025756836]","[375.6971025466919, 972.5526428222656, 224.8941993713379]","[268.4077978134155, 962.9232025146484, 115.41683197021484]",squat
114,"[407.5045394897461, 466.7058563232422, -426.5775680541992]","[412.22840309143066, 458.08277130126953, -382.8217315673828]","[415.0855350494385, 458.89060974121094, -382.8863525390625]","[417.6014471054077, 459.803466796875, -382.9228973388672]","[403.23441982269287, 456.3007354736328, -386.9124984741211]","[399.4701862335205, 455.60848236083984, -387.0298767089844]","[395.53690910339355, 455.03379821777344, -386.9843292236328]","[417.4229621887207, 466.89876556396484, -138.6158275604248]","[385.5782747268677, 460.2117156982422, -151.72113418579102]","[410.09233474731445, 479.95361328125, -336.58382415771484]","[399.0648078918457, 477.96077728271484, -340.60821533203125]","[441.02210998535156, 543.4799194335938, 24.218759536743164]","[335.67049741744995, 521.9206619262695, -60.995192527770996]","[470.3325605392456, 612.5452423095703, -180.5341339111328]","[281.9301223754883, 572.0906448364258, -283.362979888916]","[510.85790634155273, 586.6798782348633, -707.2431182861328]","[275.4728651046753, 536.2399291992188, -773.6860656738281]","[524.6471643447876, 578.3964157104492, -786.8244934082031]","[270.63559770584106, 523.2952117919922, -877.7058410644531]","[519.49303150177, 568.1119918823242, -809.5883941650391]","[277.0381164550781, 520.977668762207, -899.3305969238281]","[513.6655139923096, 570.6680297851562, -729.7746276855469]","[280.9952116012573, 525.7115936279297, -795.5628967285156]","[385.68315982818604, 708.2201385498047, 21.484713554382324]","[324.7913718223572, 697.3006439208984, -21.034564971923828]","[379.58338737487793, 829.4857025146484, 43.08480262756348]","[299.62826013565063, 818.6374664306641, 41.56776428222656]","[365.93806743621826, 939.4941711425781, 479.04991149902344]","[284.8080039024353, 929.3825531005859, 417.79476165771484]","[353.9750933647156, 949.0350341796875, 505.21522521972656]","[289.4048810005188, 940.8146667480469, 435.54847717285156]","[376.189169883728, 973.8229370117188, 244.67863082885742]","[268.4510564804077, 963.8737487792969, 154.61248397827148]",squat
115,"[407.33455181121826, 465.5524444580078, -442.0730972290039]","[412.05674171447754, 456.56253814697266, -398.7331771850586]","[414.9380350112915, 457.29774475097656, -398.80638122558594]","[417.5872850418091, 458.2459259033203, -398.8477325439453]","[403.034348487854, 455.04711151123047, -402.8932189941406]","[399.25041675567627, 454.41749572753906, -403.0181121826172]","[395.2976989746094, 453.9942932128906, -402.98099517822266]","[417.57209300994873, 465.71022033691406, -153.63512992858887]","[385.2834463119507, 459.5615768432617, -166.94929122924805]","[409.967622756958, 478.87229919433594, -351.46263122558594]","[398.834867477417, 477.2492980957031, -355.60569763183594]","[441.84239387512207, 543.9144134521484, 13.102357387542725]","[335.8644104003906, 521.10595703125, -73.56456279754639]","[470.39371490478516, 613.7620162963867, -187.80332565307617]","[281.9348216056824, 570.914192199707, -288.01219940185547]","[510.32339572906494, 587.6821899414062, -714.5514678955078]","[274.26329612731934, 536.5618133544922, -778.3615112304688]","[524.560432434082, 579.407958984375, -788.1096649169922]","[268.0147361755371, 525.3629684448242, -883.7297821044922]","[519.1555881500244, 568.7308502197266, -835.5032348632812]","[274.41410064697266, 521.1221313476562, -906.4516448974609]","[513.4459161758423, 571.2810134887695, -734.6965026855469]","[277.94079780578613, 526.4072418212891, -801.2122344970703]","[385.5097818374634, 708.3784484863281, 22.659640312194824]","[324.6539354324341, 697.2823333740234, -22.21813678741455]","[379.14140224456787, 829.5191192626953, 60.42351722717285]","[299.31012868881226, 818.9976501464844, 51.04496479034424]","[365.92450618743896, 939.2942810058594, 502.04551696777344]","[284.8360061645508, 929.5381164550781, 434.2001724243164]","[353.78225326538086, 948.8571929931641, 528.8865661621094]","[289.44393396377563, 940.8843994140625, 452.91126251220703]","[377.460880279541, 974.0000152587891, 268.66498947143555]","[268.729727268219, 964.9365997314453, 173.21399688720703]",squat
116,"[407.2101831436157, 466.72691345214844, -410.8673858642578]","[411.930570602417, 457.10384368896484, -366.4786148071289]","[414.80504035949707, 457.66613006591797, -366.500244140625]","[417.5285339355469, 458.51985931396484, -366.50279998779297]","[402.8940153121948, 455.9077835083008, -374.4527053833008]","[399.0896987915039, 455.41202545166016, -374.5684051513672]","[395.12007236480713, 455.0231170654297, -374.54933166503906]","[417.5732088088989, 465.838623046875, -119.95240211486816]","[385.0719165802002, 460.5844497680664, -149.61492538452148]","[409.8355293273926, 479.9413299560547, -319.0208053588867]","[398.6737632751465, 478.49212646484375, -327.86922454833984]","[441.62927627563477, 543.8552093505859, 49.562621116638184]","[336.4025902748108, 521.5956497192383, -79.91743087768555]","[468.38197231292725, 615.3620529174805, -152.64580726623535]","[285.85054636001587, 573.4711456298828, -313.3467674255371]","[508.6726999282837, 589.7317504882812, -686.5618133544922]","[273.5712218284607, 541.6998291015625, -795.7616424560547]","[523.9527082443237, 580.4063034057617, -778.9325714111328]","[266.2105107307434, 530.6198120117188, -895.6082153320312]","[519.0640068054199, 570.0925827026367, -819.7634124755859]","[272.27893352508545, 525.4692459106445, -922.8784942626953]","[513.2462310791016, 572.8131866455078, -716.6519165039062]","[276.65273666381836, 529.6560668945312, -814.183349609375]","[385.7255172729492, 708.9009094238281, 30.552783012390137]","[325.16228914260864, 698.2209777832031, -30.107238292694092]","[378.5499429702759, 829.6612548828125, 105.25216102600098]","[299.26729917526245, 819.4419860839844, 24.774479866027832]","[365.5583953857422, 939.2537689208984, 528.5588073730469]","[284.835147857666, 929.9745941162109, 377.4247741699219]","[352.56319999694824, 948.7255096435547, 553.6209869384766]","[289.4132709503174, 941.2641143798828, 393.66336822509766]","[378.8821077346802, 974.0044403076172, 302.36040115356445]","[268.74963998794556, 966.2741088867188, 114.6055793762207]",squat
117,"[407.02109813690186, 466.8416976928711, -433.88011932373047]","[411.88971519470215, 457.69126892089844, -389.5864486694336]","[414.71757888793945, 458.2270050048828, -389.6350860595703]","[417.44407653808594, 459.1359329223633, -389.6434783935547]","[402.8062963485718, 456.5336227416992, -397.6875305175781]","[398.9454174041748, 456.13067626953125, -397.81795501708984]","[394.8769998550415, 455.7533645629883, -397.7873992919922]","[417.5861692428589, 466.85462951660156, -141.73255920410156]","[385.01076221466064, 461.32015228271484, -173.16280364990234]","[409.81003761291504, 479.9492645263672, -341.8846130371094]","[398.31172943115234, 478.33900451660156, -351.17191314697266]","[442.076153755188, 544.9200439453125, 32.168729305267334]","[336.4277386665344, 522.5251388549805, -93.6345386505127]","[467.6804780960083, 617.2715377807617, -162.54512786865234]","[287.48300313949585, 575.1496505737305, -332.3221206665039]","[507.942795753479, 590.9077835083008, -715.5549621582031]","[272.7254247665405, 548.2524490356445, -820.8016204833984]","[523.641529083252, 581.0979080200195, -817.3889923095703]","[264.48848962783813, 536.6349411010742, -934.2775726318359]","[518.8303327560425, 570.9305953979492, -859.2451477050781]","[270.87875604629517, 531.7451858520508, -963.6533355712891]","[513.0489921569824, 573.6597442626953, -750.5750274658203]","[275.5182695388794, 535.7990264892578, -847.3032379150391]","[385.8971357345581, 710.4377746582031, 30.678839683532715]","[325.2453303337097, 699.7041320800781, -30.256941318511963]","[378.37120056152344, 830.5018615722656, 125.29187202453613]","[299.2370653152466, 820.7380676269531, 30.278584957122803]","[365.41050910949707, 939.1588592529297, 574.3862152099609]","[285.3304982185364, 930.8103942871094, 407.24308013916016]","[351.6405415534973, 948.7852478027344, 602.3546600341797]","[289.957480430603, 941.9422912597656, 425.82096099853516]","[379.78912353515625, 974.2691040039062, 348.48278045654297]","[268.77755641937256, 967.2749328613281, 144.87106323242188]",squat
118,"[406.8285799026489, 467.44144439697266, -442.5652313232422]","[411.82602882385254, 458.43589782714844, -397.8692626953125]","[414.62599754333496, 458.96217346191406, -397.92598724365234]","[417.37669944763184, 459.8827362060547, -397.9275131225586]","[402.5914192199707, 457.28092193603516, -406.88411712646484]","[398.6383581161499, 456.9008255004883, -407.02091217041016]","[394.47471141815186, 456.53663635253906, -406.98219299316406]","[417.69843578338623, 467.5541305541992, -148.68626594543457]","[384.8920154571533, 462.05249786376953, -181.74066543579102]","[409.7563934326172, 480.5051803588867, -350.2705764770508]","[398.00917625427246, 478.9284133911133, -360.5323791503906]","[442.82631397247314, 545.8841705322266, 25.264182090759277]","[336.518976688385, 523.2344818115234, -97.80409812927246]","[466.9918155670166, 618.7092208862305, -185.9571075439453]","[291.7632508277893, 576.2620162963867, -329.60880279541016]","[507.53364086151123, 591.560173034668, -735.826416015625]","[271.87503576278687, 551.2631225585938, -822.0816040039062]","[523.411374092102, 581.5579986572266, -836.8446350097656]","[263.4009075164795, 539.3302536010742, -936.0212707519531]","[518.7281942367554, 571.2772369384766, -875.1166534423828]","[269.89434242248535, 534.5742034912109, -964.1596984863281]","[513.0149602890015, 573.6795806884766, -769.2577362060547]","[274.1428542137146, 538.6545562744141, -850.0557708740234]","[385.94738960266113, 711.4436340332031, 30.848910808563232]","[325.33090353012085, 700.7487487792969, -30.413546562194824]","[378.48209381103516, 831.1806488037109, 125.69184303283691]","[299.1867685317993, 822.3405456542969, 16.07806921005249]","[365.30991554260254, 939.0633392333984, 587.8805160522461]","[285.62384605407715, 931.4906311035156, 396.4680862426758]","[351.0904312133789, 948.8017272949219, 617.2433853149414]","[290.33517837524414, 942.5309753417969, 415.4338836669922]","[379.9134063720703, 974.4383239746094, 363.7782287597656]","[268.6301636695862, 967.5967407226562, 132.4795627593994]",squat
119,"[406.5983819961548, 467.7442932128906, -468.2002639770508]","[411.67874336242676, 458.76468658447266, -425.70091247558594]","[414.454550743103, 459.28272247314453, -425.79063415527344]","[417.3063611984253, 460.15052795410156, -425.83194732666016]","[402.2326469421387, 457.6165008544922, -429.5846939086914]","[398.1923818588257, 457.2193145751953, -429.7196578979492]","[394.0624666213989, 456.89212799072266, -429.7209930419922]","[417.7063322067261, 467.8317642211914, -180.44605255126953]","[384.77434158325195, 462.5023651123047, -192.48186111450195]","[409.7151517868042, 480.71929931640625, -377.4537658691406]","[397.7776908874512, 479.287109375, -381.485595703125]","[443.3392381668091, 546.6831207275391, -17.441565990447998]","[336.47475242614746, 524.2020416259766, -101.23489379882812]","[465.58784008026123, 619.680290222168, -242.30493545532227]","[291.25558376312256, 576.6039276123047, -335.50559997558594]","[507.3527956008911, 591.4157867431641, -777.510986328125]","[271.4547657966614, 551.7855072021484, -845.9684753417969]","[523.3481597900391, 581.3088989257812, -877.29736328125]","[263.34177017211914, 539.9015426635742, -957.4887084960938]","[518.6886692047119, 570.757942199707, -911.0916900634766]","[270.1153564453125, 535.1355743408203, -983.2699584960938]","[512.8295230865479, 573.0389404296875, -808.173828125]","[274.20098304748535, 539.2181396484375, -871.9297790527344]","[385.90683460235596, 712.1150207519531, 29.251646995544434]","[325.3091025352478, 701.2289428710938, -28.783273696899414]","[378.5780096054077, 831.5766143798828, 111.83944702148438]","[299.0810465812683, 823.8313293457031, 39.7627592086792]","[365.1313877105713, 939.0024566650391, 584.4868850708008]","[285.7381296157837, 932.4240875244141, 443.0845642089844]","[350.9099507331848, 948.7604522705078, 615.1211547851562]","[290.38562536239624, 943.5271453857422, 464.32395935058594]","[379.86881732940674, 975.087890625, 359.1763687133789]","[268.48373651504517, 967.9231262207031, 181.96348190307617]",squat
120,"[406.4396810531616, 468.1615447998047, -467.05684661865234]","[411.60080909729004, 459.0296173095703, -424.3978500366211]","[414.349365234375, 459.5328903198242, -424.4864273071289]","[417.244348526001, 460.36338806152344, -424.5296096801758]","[401.93116664886475, 457.8342819213867, -428.57051849365234]","[397.8184175491333, 457.39795684814453, -428.70532989501953]","[393.66034984588623, 457.0668029785156, -428.7107467651367]","[417.6970624923706, 467.9851531982422, -178.70290756225586]","[384.66894149780273, 462.73719787597656, -193.54278564453125]","[409.66296672821045, 481.2118911743164, -376.0982131958008]","[397.62791633605957, 479.7868347167969, -380.5779266357422]","[443.44433784484863, 546.9496917724609, -16.75639033317566]","[336.7769408226013, 524.4538116455078, -102.29769706726074]","[464.93754386901855, 620.0582885742188, -237.9139518737793]","[292.29055166244507, 577.1831512451172, -338.10508728027344]","[506.928448677063, 591.368522644043, -770.3587341308594]","[271.54263496398926, 551.4919281005859, -853.0984497070312]","[523.1994581222534, 581.2430953979492, -867.8491973876953]","[263.9431428909302, 539.6995162963867, -963.4353637695312]","[518.3305835723877, 570.4692840576172, -900.5256652832031]","[270.77661752700806, 534.9117279052734, -987.4208831787109]","[512.3122644424438, 572.7783203125, -800.2789306640625]","[274.7504925727844, 539.0027618408203, -877.4613952636719]","[385.8543920516968, 712.5466918945312, 29.41274642944336]","[325.3251314163208, 701.7404937744141, -28.94184112548828]","[378.6268472671509, 831.7115783691406, 112.32799530029297]","[299.0708327293396, 823.9195251464844, 25.327537059783936]","[365.09817123413086, 938.9864349365234, 578.9559936523438]","[285.73403120040894, 932.5239562988281, 418.8772964477539]","[350.93318939208984, 948.7538146972656, 608.9166641235352]","[290.29447317123413, 943.7303161621094, 439.188232421875]","[379.7135925292969, 975.2484130859375, 353.5666275024414]","[268.46927404403687, 968.0731964111328, 156.72456741333008]",squat
121,"[406.28509998321533, 468.4912872314453, -454.4593811035156]","[411.5587091445923, 459.3714141845703, -410.7637405395508]","[414.2764091491699, 459.8981475830078, -410.8281707763672]","[417.17602729797363, 460.7389450073242, -410.84972381591797]","[401.7340135574341, 458.0587387084961, -417.7601623535156]","[397.57972240448, 457.57076263427734, -417.8938674926758]","[393.4309673309326, 457.2249221801758, -417.8998565673828]","[417.67367362976074, 468.2199478149414, -162.9656982421875]","[384.64619636535645, 462.8341293334961, -189.6769142150879]","[409.61713314056396, 481.57482147216797, -362.42687225341797]","[397.3611545562744, 480.00465393066406, -370.5158233642578]","[443.2839632034302, 546.9001007080078, 3.3963415026664734]","[336.94122076034546, 524.1139602661133, -102.71480560302734]","[464.16378021240234, 620.147590637207, -217.12196350097656]","[292.0071816444397, 577.3325347900391, -350.14244079589844]","[506.4343214035034, 590.8193206787109, -747.4435424804688]","[271.6480350494385, 551.2004852294922, -854.8133850097656]","[522.9567289352417, 580.925407409668, -843.4026336669922]","[264.93354320526123, 539.5461273193359, -964.4101715087891]","[518.004469871521, 569.842643737793, -878.4098815917969]","[271.81304454803467, 534.102783203125, -985.8905029296875]","[511.7035961151123, 572.3468017578125, -778.4781646728516]","[275.61068773269653, 538.2521820068359, -877.5053405761719]","[385.8102321624756, 712.3831939697266, 31.99497699737549]","[325.4305958747864, 701.8510437011719, -31.510252952575684]","[378.6706209182739, 831.7771911621094, 123.36499214172363]","[299.0466070175171, 823.8084411621094, 15.352554321289062]","[365.20567417144775, 938.9352416992188, 582.7294921875]","[285.6242108345032, 932.6205444335938, 398.4626007080078]","[351.0492753982544, 948.7443542480469, 612.2210311889648]","[289.97962474823, 943.8592529296875, 418.1927490234375]","[379.6181917190552, 975.2471923828125, 362.7593994140625]","[268.3457636833191, 968.1362152099609, 138.4135627746582]",squat
122,"[406.15699768066406, 468.7309265136719, -461.05220794677734]","[411.52055740356445, 459.57244873046875, -417.52201080322266]","[414.21096324920654, 460.1022720336914, -417.58838653564453]","[417.1106243133545, 460.9314727783203, -417.6051330566406]","[401.55900478363037, 458.20980072021484, -425.2705383300781]","[397.37003803253174, 457.7110290527344, -425.40714263916016]","[393.21544647216797, 457.3722457885742, -425.4218292236328]","[417.6633310317993, 468.3057403564453, -168.20762634277344]","[384.57109451293945, 462.95764923095703, -198.67326736450195]","[409.59404468536377, 481.76029205322266, -368.0027770996094]","[397.14280128479004, 480.15819549560547, -377.1026611328125]","[443.37975025177, 546.9950485229492, 2.8809520602226257]","[337.14972496032715, 523.8618087768555, -118.45891952514648]","[463.51691722869873, 620.4253005981445, -214.36208724975586]","[291.2308859825134, 577.4030303955078, -357.95005798339844]","[504.8760223388672, 591.0079193115234, -738.4414672851562]","[271.8862581253052, 548.3394622802734, -851.9424438476562]","[521.3534116744995, 580.8234786987305, -832.7445220947266]","[265.3956341743469, 535.8878707885742, -960.0218200683594]","[516.0649538040161, 569.565544128418, -867.8052520751953]","[272.38051414489746, 530.2732086181641, -980.6259918212891]","[509.6922826766968, 572.2533416748047, -769.039306640625]","[276.1016821861267, 534.5736694335938, -873.8312530517578]","[385.77208042144775, 712.2322082519531, 34.5278263092041]","[325.63302755355835, 701.5797424316406, -34.03672218322754]","[378.99712085723877, 831.8045806884766, 134.73835945129395]","[299.0265440940857, 823.7919616699219, 9.260686039924622]","[365.38883686065674, 938.565673828125, 600.7185363769531]","[285.3403043746948, 932.5666809082031, 389.9905014038086]","[351.47209882736206, 948.6470031738281, 631.1037826538086]","[289.1650915145874, 943.73779296875, 409.46460723876953]","[379.50652599334717, 974.6574401855469, 384.6693420410156]","[268.4139132499695, 968.0772399902344, 130.2392292022705]",squat
123,"[405.84410190582275, 468.96862030029297, -470.6205368041992]","[411.35228633880615, 459.85511779785156, -426.07433319091797]","[414.0320062637329, 460.4021453857422, -426.1514663696289]","[416.8865203857422, 461.2279510498047, -426.16119384765625]","[401.2657642364502, 458.4434127807617, -435.9397888183594]","[397.0905303955078, 457.9407501220703, -436.0868835449219]","[392.9684257507324, 457.6134490966797, -436.09981536865234]","[417.6507568359375, 468.5747528076172, -173.10659408569336]","[384.4841480255127, 463.18328857421875, -213.2122802734375]","[409.41410064697266, 481.9593048095703, -376.0926818847656]","[396.710000038147, 480.28453826904297, -387.94864654541016]","[443.3058500289917, 546.9075775146484, 2.174711227416992]","[337.12878227233887, 523.7093353271484, -141.24836921691895]","[463.59785556793213, 620.4183959960938, -208.69911193847656]","[290.3696608543396, 577.2391510009766, -385.07118225097656]","[504.05290603637695, 590.7598876953125, -722.7376556396484]","[272.0525550842285, 545.7583618164062, -859.8042297363281]","[519.5449161529541, 579.8954391479492, -814.3700408935547]","[265.7785892486572, 533.2588577270508, -967.0683288574219]","[513.9910697937012, 568.4312057495117, -846.7781066894531]","[273.03643226623535, 527.2674560546875, -985.4463958740234]","[507.90181159973145, 571.5464019775391, -751.9187927246094]","[276.9740653038025, 531.849365234375, -879.9832916259766]","[385.74302673339844, 712.1549224853516, 39.794955253601074]","[325.64714670181274, 701.4703369140625, -39.31852579116821]","[379.2213535308838, 831.9392395019531, 154.85601425170898]","[299.0195918083191, 823.7283325195312, 8.396066427230835]","[365.9366512298584, 938.2199859619141, 643.4122467041016]","[284.87151861190796, 931.8357086181641, 391.63330078125]","[352.4204635620117, 948.4173583984375, 676.7400360107422]","[288.1178069114685, 942.9026794433594, 413.05057525634766]","[379.45069313049316, 974.2180633544922, 438.56834411621094]","[268.62979888916016, 967.9326629638672, 137.69525527954102]",squat
124,"[405.7705879211426, 469.13848876953125, -470.3095245361328]","[411.3040065765381, 460.0617218017578, -424.9498748779297]","[413.93677711486816, 460.6212615966797, -425.02098083496094]","[416.7376899719238, 461.4617156982422, -425.0214385986328]","[401.2108325958252, 458.5939407348633, -435.4434585571289]","[397.0355558395386, 458.0717086791992, -435.58849334716797]","[392.90400981903076, 457.72560119628906, -435.59722900390625]","[417.56059169769287, 468.8492202758789, -169.33526992797852]","[384.41762924194336, 463.3055877685547, -214.20198440551758]","[409.3054389953613, 482.14256286621094, -374.72145080566406]","[396.570782661438, 480.4009246826172, -387.55271911621094]","[443.21680068969727, 546.7866897583008, 14.588220119476318]","[337.1115517616272, 523.681526184082, -148.18137168884277]","[463.4908676147461, 620.0851440429688, -182.25275039672852]","[290.17019033432007, 577.1232223510742, -397.6649475097656]","[503.47822666168213, 590.6180953979492, -695.3913879394531]","[272.3435640335083, 544.1460418701172, -867.3179626464844]","[518.4669256210327, 579.7748565673828, -785.7753753662109]","[266.87499046325684, 531.7256927490234, -974.9856567382812]","[512.7636051177979, 568.1212615966797, -818.1883239746094]","[274.4624876976013, 525.7314300537109, -992.7252960205078]","[506.8632173538208, 571.4348602294922, -724.58740234375]","[278.43061208724976, 530.3303146362305, -886.7672729492188]","[385.716290473938, 711.9136047363281, 48.46241474151611]","[325.76486349105835, 701.0978698730469, -48.012657165527344]","[379.3819856643677, 831.9412231445312, 174.01153564453125]","[299.07278537750244, 823.2601928710938, -14.192039966583252]","[366.23645782470703, 938.1141662597656, 651.1492156982422]","[284.5932984352112, 931.5834808349609, 351.4604949951172]","[352.89291858673096, 948.3880615234375, 682.8545379638672]","[287.39444732666016, 942.7154541015625, 370.1030731201172]","[379.41893577575684, 974.0838623046875, 444.5277404785156]","[269.1099786758423, 967.8608703613281, 85.87722778320312]",squat
125,"[405.6379795074463, 469.24110412597656, -462.58724212646484]","[411.21641635894775, 460.1795196533203, -415.96805572509766]","[413.8177299499512, 460.74451446533203, -416.02294921875]","[416.56920433044434, 461.58946990966797, -416.01512908935547]","[401.1259460449219, 458.68507385253906, -428.4859085083008]","[396.95852279663086, 458.1616973876953, -428.6390686035156]","[392.8247880935669, 457.8183364868164, -428.6416244506836]","[417.47952461242676, 468.9969253540039, -157.57844924926758]","[384.37492847442627, 463.4236145019531, -209.58372116088867]","[409.164719581604, 482.2492980957031, -365.80814361572266]","[396.37311458587646, 480.4810333251953, -380.88626861572266]","[443.14414501190186, 546.3873291015625, 30.590243339538574]","[337.121422290802, 523.7775421142578, -143.6328411102295]","[463.5555839538574, 619.2190551757812, -156.8712043762207]","[288.10169219970703, 576.0842132568359, -393.6622619628906]","[503.06023120880127, 590.3359985351562, -672.645263671875]","[272.6088237762451, 541.5871429443359, -857.8105163574219]","[517.587890625, 579.6387481689453, -763.1298828125]","[268.1448984146118, 529.2537307739258, -966.1488342285156]","[511.7439794540405, 567.8609085083008, -796.3939666748047]","[275.9324884414673, 523.7096405029297, -983.9290618896484]","[506.04143142700195, 571.2863922119141, -702.0407867431641]","[279.61692094802856, 528.3377075195312, -876.4476776123047]","[385.6946611404419, 711.7413330078125, 49.76348400115967]","[325.86114406585693, 700.8671569824219, -49.34493064880371]","[379.53991413116455, 831.9563293457031, 156.0087490081787]","[299.0936851501465, 823.2078552246094, -8.301668167114258]","[366.5539026260376, 938.0171966552734, 617.9454040527344]","[284.13764476776123, 931.5565490722656, 353.3719253540039]","[353.4391450881958, 948.3597564697266, 647.8847503662109]","[286.78146600723267, 942.7127075195312, 373.121337890625]","[379.4239568710327, 974.0671539306641, 404.47757720947266]","[269.1697597503662, 967.8413391113281, 91.45651817321777]",squat
